LLM,ROBERTA_F1,BLEU,Similiarity,mislabel
gpt_neo_125m,65.80%,7.78,31.30%,18.94%
gpt_neo_13b,70.72%,10.73,44.57%,13.29%
gpt_neo_27b,75.68%,13.10,50.40%,7.53%
gpt_j_6b,52.38%,15.38,50.91%,17.18%
bloom_560m,54.82%,12.49,45.05%,17.65%
bloom_1b,64.03%,8.04,41.41%,21.41%
bloom_3b,68.06%,14.85,56.95%,13.29%
bloom_7b,74.69%,12.45,54.90%,8.82%
bloomz_560m,63.30%,7.25,35.06%,20.00%
bloomz_1b,63.52%,7.23,40.47%,20.80%
bloomz_3b,71.74%,10.39,56.82%,11.06%
bloomz_7b,60.52%,10.76,56.31%,25.29%
Llama2_7b,74.82%,19.43,60.54%,8.82%
Llama2_13b,67.55%,19.75,62.07%,16.12%
Mistral_7b,75.57%,19.09,55.51%,7.18%
Mistral_instruct_7b,73.75%,13.23,53.03%,7.41%
Falcon_7b,68.61%,15.72,61.21%,11.06%
Falcon_instruct_7b,69.83%,13.86,45.69%,11.29%
